time,lat,lat,U,V
0.0,20.0,120.00000762939452,-5.9464903,-6.073085
6.0,20.0,120.00000762939452,-7.284775,-5.7883987
12.0,20.0,120.00000762939452,-9.797754,-5.722151
18.0,20.0,120.00000762939452,-11.115711,-4.762705
24.0,20.0,120.00000762939452,-9.605501,-5.299837
30.0,20.0,120.00000762939452,-8.681465,-3.4922476000000002
36.0,20.0,120.00000762939452,-8.050758,-4.562857599999999
42.0,20.0,120.00000762939452,-6.251054,-5.307563
48.0,20.0,120.00000762939452,-4.2884417,-6.1070595
54.0,20.0,120.00000762939452,-2.6057873,-5.155945
60.0,20.0,120.00000762939452,-1.7373676,-5.7889996
66.0,20.0,120.00000762939452,-1.4171867,-4.7937136
72.0,20.0,120.00000762939452,-1.8956461,-6.198387
78.0,20.0,120.00000762939452,-1.7418804,-4.9193373
84.0,20.0,120.00000762939452,-1.2318334999999998,-7.481161999999999
90.0,20.0,120.00000762939452,-2.5422964,-5.0476055
96.0,20.0,120.00000762939452,-4.350939,-4.905744599999999
102.0,20.0,120.00000762939452,-4.212182,-3.8782243999999997
108.0,20.0,120.00000762939452,-5.220411299999999,-5.2307587
114.0,20.0,120.00000762939452,-5.2629843,-1.9810171000000003
120.0,20.0,120.00000762939452,-3.3117085,-3.5121345999999996
126.0,20.0,120.00000762939452,-3.7708864,-3.8382739999999997
132.0,20.0,120.00000762939452,-4.4560566,-4.9501753
138.0,20.0,120.00000762939452,-5.021718,-4.859828
144.0,20.0,120.00000762939452,-5.261319,-4.815426
150.0,20.0,120.00000762939452,-5.156004,-3.2604914000000003
156.0,20.0,120.00000762939452,-6.206311,-2.8136509999999997
162.0,20.0,120.00000762939452,-5.531105,-0.21259975
168.0,20.0,120.00000762939452,-5.669671,-0.6909056
174.0,20.0,120.00000762939452,-3.4851483999999995,-1.311409
180.0,20.0,120.00000762939452,-5.5486603,-2.9338312
186.0,20.0,120.00000762939452,-5.0763836,-1.1226549
192.0,20.0,120.00000762939452,-4.4495515999999995,-0.16110325
198.0,20.0,120.00000762939452,-1.6932620999999999,-1.1311913
204.0,20.0,120.00000762939452,-1.88725,-3.3347415999999996
210.0,20.0,120.00000762939452,-1.8864012,-2.2287226
216.0,20.0,120.00000762939452,-0.49890584,-4.2445364
222.0,20.0,120.00000762939452,0.36616832,-5.381452599999999
228.0,20.0,120.00000762939452,-0.49010897,-5.7705708
234.0,20.0,120.00000762939452,-3.4716196000000004,-4.138114
240.0,20.0,120.00000762939452,-7.465788000000001,-3.5827522000000003
246.0,20.0,120.00000762939452,-6.786865,-2.8719254000000003
252.0,20.0,120.00000762939452,-7.395723299999999,-3.6882305
258.0,20.0,120.00000762939452,-6.490098000000001,-2.4443264
264.0,20.0,120.00000762939452,-5.651968,-1.2883825
270.0,20.0,120.00000762939452,-3.187768,-1.1914844999999998
276.0,20.0,120.00000762939452,-0.24212086,-6.810838700000001
282.0,20.0,120.00000762939452,-2.0032387,-7.010789999999999
288.0,20.0,120.00000762939452,-10.529086,-3.9066153
294.0,20.0,120.00000762939452,-11.185421,-4.1874285
300.0,20.0,120.00000762939452,-11.515158999999999,-3.7205591
306.0,20.0,120.00000762939452,-11.352884,-2.0222769
312.0,20.0,120.00000762939452,-11.00028,-1.0285769
318.0,20.0,120.00000762939452,-9.887334,-0.08216029400000001
324.0,20.0,120.00000762939452,-9.098282000000001,-0.85773754
330.0,20.0,120.00000762939452,-8.209278,-0.5714504
336.0,20.0,120.00000762939452,-7.495528999999999,-3.2283964
342.0,20.0,120.00000762939452,-8.363785,-2.6178741000000003
348.0,20.0,120.00000762939452,-9.857301,-5.8948593
354.0,20.0,120.00000762939452,-10.907718,-6.725871000000001
360.0,20.0,120.00000762939452,-11.000175,-6.5127096
366.0,20.0,120.00000762939452,-11.603636,-4.5622654
372.0,20.0,120.00000762939452,-10.238032,-3.2756243
378.0,20.0,120.00000762939452,-10.813179,-0.77444935
384.0,20.0,120.00000762939452,-9.439465,0.15535522
390.0,20.0,120.00000762939452,-7.7577476999999995,3.528349
396.0,20.0,120.00000762939452,-5.0407124,3.0496616000000003
402.0,20.0,120.00000762939452,-2.1195060000000003,3.1240053
408.0,20.0,120.00000762939452,2.6751533,-0.01878466
414.0,20.0,120.00000762939452,3.2846537000000002,-5.298946400000001
420.0,20.0,120.00000762939452,-0.5824318,-6.8021593
426.0,20.0,120.00000762939452,-8.895863,-5.029381
432.0,20.0,120.00000762939452,-8.945108,-5.078994799999999
438.0,20.0,120.00000762939452,-7.3889914,-5.920001999999999
444.0,20.0,120.00000762939452,-7.281886999999999,-6.2761154
450.0,20.0,120.00000762939452,-7.6921587,-5.043685
456.0,20.0,120.00000762939452,-6.8267117,-5.129099
462.0,20.0,120.00000762939452,-6.2753735,-4.327368
468.0,20.0,120.00000762939452,-6.2669809999999995,-3.9346495000000004
474.0,20.0,120.00000762939452,-5.2072,-4.2272263
480.0,20.0,120.00000762939452,-4.018957,-6.3250017
486.0,20.0,120.00000762939452,-5.563451000000001,-5.0741262
492.0,20.0,120.00000762939452,-8.337475,-5.998913
498.0,20.0,120.00000762939452,-9.224110000000001,-6.142997
504.0,20.0,120.00000762939452,-9.279197,-6.8006496
510.0,20.0,120.00000762939452,-10.371332,-4.36469
516.0,20.0,120.00000762939452,-9.7842455,-2.7782211
522.0,20.0,120.00000762939452,-8.177781,-1.1533365
528.0,20.0,120.00000762939452,-7.351921000000001,-2.8305922000000003
534.0,20.0,120.00000762939452,-6.1464186,-1.6187124
540.0,20.0,120.00000762939452,-6.8909826,-1.6777762999999999
546.0,20.0,120.00000762939452,-7.071209,-1.3192233999999998
552.0,20.0,120.00000762939452,-8.361976,-1.4056787
558.0,20.0,120.00000762939452,-6.6047974,-1.7499018
564.0,20.0,120.00000762939452,-7.353341,-1.517148
570.0,20.0,120.00000762939452,-6.3472004,-0.8807764000000001
576.0,20.0,120.00000762939452,-6.606675999999999,-0.49255466
582.0,20.0,120.00000762939452,-5.6268997,0.42531204
588.0,20.0,120.00000762939452,-5.5151224,-1.991106
594.0,20.0,120.00000762939452,-5.847122,-2.2628841
600.0,20.0,120.00000762939452,-6.6888046,-0.72938114
606.0,20.0,120.00000762939452,-5.597336,-0.48575646
612.0,20.0,120.00000762939452,-6.571594999999999,-0.8070274000000001
618.0,20.0,120.00000762939452,-6.3854809999999995,1.3270864
624.0,20.0,120.00000762939452,-5.737647,2.353611
630.0,20.0,120.00000762939452,-3.3530083,3.0284061
636.0,20.0,120.00000762939452,-5.120924,3.9039555
642.0,20.0,120.00000762939452,-4.2374077,4.4561644
648.0,20.0,120.00000762939452,-2.4226607999999996,4.1275949999999995
654.0,20.0,120.00000762939452,1.8682501,1.9932203000000002
660.0,20.0,120.00000762939452,1.1936811999999999,-0.2629875
666.0,20.0,120.00000762939452,1.806715,-1.7214355
672.0,20.0,120.00000762939452,0.80720705,-3.5342207
678.0,20.0,120.00000762939452,1.36024,-2.9706821
684.0,20.0,120.00000762939452,-0.82541806,-3.6384192000000004
690.0,20.0,120.00000762939452,-1.8921576,-3.3928757000000007
696.0,20.0,120.00000762939452,-3.0389051,-4.9892416
702.0,20.0,120.00000762939452,-7.947521000000001,-3.7310781000000004
708.0,20.0,120.00000762939452,-9.017415,-3.8203343999999997
714.0,20.0,120.00000762939452,-7.1554136,-3.0990915
720.0,20.0,120.00000762939452,-4.976364,-1.5679531
726.0,20.0,120.00000762939452,2.7537909,-7.980881699999999
732.0,20.0,120.00000762939452,1.9964523,-11.877768
738.0,20.0,120.00000762939452,-4.915066700000001,-10.251142
744.0,20.0,120.00000762939452,-4.845686,-9.6810255
750.0,20.0,120.00000762939452,-6.342902,-8.011455999999999
756.0,20.0,120.00000762939452,-6.0842694999999996,-8.981249
762.0,20.0,120.00000762939452,-5.8493319999999995,-6.5329
768.0,20.0,120.00000762939452,-7.6506175999999995,-7.425497999999999
774.0,20.0,120.00000762939452,-9.213074,-4.72054
780.0,20.0,120.00000762939452,-9.316553,-4.7340183
786.0,20.0,120.00000762939452,-8.461893,-1.1402025
792.0,20.0,120.00000762939452,-8.305207000000001,-1.0548944
798.0,20.0,120.00000762939452,-6.9090595,-0.4857363
804.0,20.0,120.00000762939452,-7.515416,1.6066356000000002
810.0,20.0,120.00000762939452,-4.132724,1.3616457
816.0,20.0,120.00000762939452,-3.2306156,-3.9875849999999997
822.0,20.0,120.00000762939452,-1.3888102,-7.625036200000001
828.0,20.0,120.00000762939452,-3.9356937000000007,-7.314719
834.0,20.0,120.00000762939452,-5.8117704,-5.2792892
840.0,20.0,120.00000762939452,-4.0265894,-5.738896400000001
846.0,20.0,120.00000762939452,-1.6343956,-8.226217
852.0,20.0,120.00000762939452,-1.9579495999999998,-9.200897
858.0,20.0,120.00000762939452,-4.5367125999999995,-6.757416
864.0,20.0,120.00000762939452,-8.982236,-5.8206663
870.0,20.0,120.00000762939452,-10.995808,-6.018031
876.0,20.0,120.00000762939452,-10.634061,-5.1849136
882.0,20.0,120.00000762939452,-9.737959,-5.0079203
888.0,20.0,120.00000762939452,-9.195485000000001,-5.234603
894.0,20.0,120.00000762939452,-8.899556,-3.9030237000000003
900.0,20.0,120.00000762939452,-8.014868,-3.6562069999999998
906.0,20.0,120.00000762939452,-7.55035,-4.0448427
912.0,20.0,120.00000762939452,-6.5511627,-3.5525131
918.0,20.0,120.00000762939452,-5.3940077,-4.8944415999999995
924.0,20.0,120.00000762939452,-7.3758144,-4.091689
930.0,20.0,120.00000762939452,-8.373146,-2.6763334
936.0,20.0,120.00000762939452,-8.745472999999999,-1.0254345
942.0,20.0,120.00000762939452,-7.551168400000001,-1.6845293000000001
948.0,20.0,120.00000762939452,-7.2820253,-0.48822879999999996
954.0,20.0,120.00000762939452,-5.524151,-0.010819793000000001
960.0,20.0,120.00000762939452,-4.1453370000000005,0.5346221999999999
966.0,20.0,120.00000762939452,-1.1480112,-0.34939957
972.0,20.0,120.00000762939452,-0.5913989000000001,-6.3727730000000005
978.0,20.0,120.00000762939452,-2.7012691,-4.7666407
984.0,20.0,120.00000762939452,-3.673458,-4.2193604
990.0,20.0,120.00000762939452,-4.7501974,-5.0027895
996.0,20.0,120.00000762939452,-6.404234,-5.321211
